"","language","lower.ci","corr","upper.ci"
"1","english",0.577651532684535,0.632831125891347,0.682480874006063
"2","afrikaans",0.410217788536815,0.48379128494934,0.551943271591207
"3","albanian",0.104678305883716,0.193987440525511,0.281498475413193
"4","arabic",0.0707245825368861,0.148216114678882,0.227196627834802
"5","armanian",0.294677529089621,0.382340618496262,0.460654602778187
"6","azerbaijani",0.153595744995141,0.243437059191712,0.33347331653019
"7","basque",0.306427434823053,0.387939209598713,0.465238722062498
"8","belarusian",0.277142661148669,0.364907494369753,0.452337087719338
"9","bengali",0.0584978495893126,0.152210178268757,0.265503557429611
"10","bosnian",0.320601715699617,0.398923215192703,0.476165947344607
"11","bulgarian",0.267908966205244,0.357635024299849,0.445322669212485
"12","catalan",0.179386716708351,0.299706169266535,0.415953272925097
"13","cebuana",0.0806354247880601,0.186601741032458,0.289796873579686
"14","chinese",0.250607297933332,0.32536370834159,0.398948121621165
"15","croatian",0.343647693554077,0.419570324864558,0.49465866867937
"16","czech",0.257870267592013,0.344350032403119,0.430909146135253
"17","danish",0.394098442150646,0.474333497092133,0.548385980224484
"18","dutch",0.332906926607837,0.420926587759652,0.501917602335894
"19","espernto",0.333186534826923,0.410334647626292,0.48519925652008
"20","estonian",0.270547707977767,0.351273866760401,0.432990730727177
"21","filipino",0.198561412399837,0.27767954814488,0.351665420689759
"22","finnish",0.204906906971958,0.289139702523382,0.371900760242634
"23","french",0.26366143156156,0.349131330261905,0.437635171697808
"24","galician",0.313258736672992,0.397525176441656,0.478468280039144
"25","georgian",0.319081414213607,0.409128908458293,0.496472976260945
"26","german",0.254365989311075,0.341398908555747,0.423016064306752
"27","greek",0.192264933019663,0.276457851379146,0.358498193750255
"28","gujarati",0.213355164206568,0.293541010960444,0.378532181523708
"29","haitian.creole",0.217595501075815,0.309032585846592,0.39468441685284
"30","hausa",0.177867399064681,0.276029895319081,0.37295221914804
"31","hebrew",0.152520417365989,0.24234510196821,0.329270684896064
"32","hindi",0.235786058418867,0.315380306832592,0.396777883290036
"33","hmong",0.184965823797308,0.290585507955034,0.389941560428888
"34","hungarian",0.263490865165674,0.349470693569135,0.438445882408267
"35","icelandic",0.273412423326303,0.368661906247424,0.463742450246868
"36","igbo",-0.0334009615139901,0.0630817516704603,0.164211163819409
"37","indonesian",0.162968986777411,0.255954657405738,0.342820825975288
"38","irish",0.181304103401199,0.275929862311246,0.370181877029716
"39","italian",0.302823683475935,0.390685403902739,0.475189852843794
"40","japanese",0.0122734922019537,0.10788354713262,0.197063349821833
"41","javanese",0.127559956193156,0.213177941603648,0.297673109535278
"42","kanada",0.100615386810072,0.196796194417883,0.301606516350897
"43","khmer",0.175351386086643,0.261770358720079,0.347995579723413
"44","korean",0.113116696211394,0.193892149755699,0.273732520233708
"45","lao",0.182719473276061,0.289579290939967,0.390300710175085
"46","latin",0.0456154355250802,0.127007906727573,0.21824994502176
"47","latvian",0.284065239324468,0.365443137306778,0.442010347032845
"48","lithuanian",0.217336590208191,0.303194520917994,0.388732830773034
"49","macedonian",0.379999325752283,0.461011007105546,0.534927349907966
"50","malay",0.127226318515379,0.222313545163018,0.314749390509013
"51","maltese",0.390397346090114,0.480938060978667,0.566433312103633
"52","maori",0.0937765390151153,0.182853027932135,0.270405951533757
"53","marathi",-0.0368616903409939,0.0455192682520154,0.137024629256387
"54","mongolian",0.243788140206593,0.327763351215796,0.406824022312206
"55","nepali",0.237883572426709,0.331693904837662,0.418875613537529
"56","norwegian",0.392561412788194,0.476142233261346,0.55476252495305
"57","persian",-0.0206472295471771,0.0550492532891693,0.140013601632394
"58","polish",0.238290024147709,0.325860766415031,0.411720172903094
"59","portuguese",0.309294257576672,0.395667024072047,0.474737266162462
"60","punjabi",0.161878798360885,0.269269316026122,0.375672986097047
"61","romanian",0.201918590863558,0.294084948340767,0.387955941260011
"62","russian",0.353537287494106,0.43234202593453,0.50436952339923
"63","serbian",0.335266907997535,0.414642485877846,0.492723915862148
"64","slovak",0.23465349161199,0.320654217862937,0.405839391911762
"65","slovenian",0.184232411662962,0.310870971782953,0.441420642026255
"66","somali",0.0799029589947006,0.164560509725061,0.251325876257169
"67","spanish",0.265146852301574,0.354695175651474,0.44276223120811
"68","swahili",0.178551234749921,0.272918089614704,0.372910693018564
"69","swedish",0.279744330247886,0.366925669585357,0.45218197020917
"70","tamil",0.0763847017762511,0.148621465292149,0.224843914854436
"71","telugu",0.0349955561328009,0.129984311407055,0.228744104691554
"72","thai",0.228217334224002,0.312737297604778,0.395003197437635
"73","turkish",0.102176802242668,0.183987998105335,0.265922947087705
"74","ukranian",0.248178973466277,0.338769385417312,0.426238579097542
"75","urdu",0.0521428553536825,0.146404984019577,0.246265719763741
"76","vietnamese",0.235981598082712,0.317497493514704,0.398518710703628
"77","welsh",0.284096850362011,0.367407398129776,0.449896109565398
"78","yiddish",0.392471767632738,0.474266181566532,0.549345421807714
"79","yoruba",0.0790737316653621,0.176934113622683,0.273148704511748
"80","zulu",0.235581459650539,0.314742181059685,0.394311047759477
