"","obj","meanRating","cih","cil"
"2","1-2",0.067770971422087,0.070530445720608,0.0578693238809872
"6","1-6",0.0961516339869281,0.0638393820558526,0.0621903862150921
"5","1-5",0.171708853238265,0.0732845216874628,0.0687873440285205
"1","1-1",0.198905525846702,0.0962129233511586,0.0861659982174688
"4","1-4",0.205391265597148,0.0761158422459893,0.0731666666666667
"8","1-8",0.213287175157144,0.0692910029083404,0.067792738530819
"7","1-7",0.226620320855615,0.077600038197097,0.0821265469824294
"3","1-3",0.240463209407226,0.0734359884537369,0.0732567665498801
"14","2-6",0.362726450020568,0.122064541341012,0.131979967091732
"13","2-5",0.365537163309983,0.112737957715037,0.0906105399333593
"16","2-8",0.388259920156472,0.116382088162007,0.118213035133674
"11","2-3",0.393164349376114,0.0601796078431373,0.0678657130124777
"9","2-1",0.396717626087868,0.07559099297473,0.0791673482227115
"10","2-2",0.400489205783323,0.0759571895424836,0.0728893741334918
"12","2-4",0.409232560903149,0.0713378490790255,0.0759857991681521
"19","3-3",0.437312451087946,0.101346371304925,0.102501755929922
"20","3-4",0.454706120023767,0.0863671063576945,0.101402816399287
"23","3-7",0.491521184697655,0.116286768133827,0.128430138488962
"15","2-7",0.498480635229298,0.0940766326365258,0.109463279857397
"18","3-2",0.500260812458955,0.0652840791819119,0.0647859649122808
"22","3-6",0.52237068011997,0.1026228076994,0.112956901579376
"21","3-5",0.545940690325717,0.126239669421488,0.120102090422946
"25","4-1",0.559609180035651,0.0976949309269163,0.0966431483957219
"17","3-1",0.589474738918958,0.086957163796312,0.0997975043887823
"27","4-3",0.59194499618029,0.128342245989305,0.162846956964604
"24","3-8",0.592708884510742,0.0553548925790411,0.0553958157425649
"31","4-7",0.596326967150497,0.0762127578304048,0.0919004583651643
"32","4-8",0.59644761338879,0.0807736482471776,0.0879631412160823
"38","5-6",0.598802900536869,0.0792987670754376,0.0826584431701339
"28","4-4",0.599862745098039,0.0655076203208558,0.0711394741532976
"29","4-5",0.60023659050397,0.10796896775239,0.107060849133042
"26","4-2",0.601591200602591,0.0899677787391783,0.104133774256118
"36","5-4",0.614266488413547,0.0795538101604277,0.0842270944741533
"30","4-6",0.614648336563144,0.0785315041505711,0.0940923056659365
"40","5-8",0.627812012463534,0.106301376946245,0.137342582873516
"33","5-1",0.643812070282659,0.11555576776165,0.145163292589763
"35","5-3",0.650860276977924,0.0602686411627588,0.0524500342794461
"37","5-5",0.654049197860963,0.0755774331550801,0.0784759001782532
"39","5-7",0.657452317290553,0.0501829656862746,0.052430626114082
"34","5-2",0.732388591800357,0.0488483288770053,0.0504347482174688
