"","obj","meanRating","cih","cil"
"2","1-2",0.067770971422087,0.0781658123823438,0.056775438050793
"6","1-6",0.0961516339869281,0.0620508972073678,0.0622140582293524
"5","1-5",0.171708853238265,0.0748855614973262,0.0727985145573381
"1","1-1",0.198905525846702,0.0895601158645276,0.0884220142602496
"4","1-4",0.205391265597148,0.0732892825311943,0.0761288324420678
"8","1-8",0.213287175157144,0.0708830940988835,0.0625934233980674
"7","1-7",0.226620320855615,0.087970435446906,0.0842273873185638
"3","1-3",0.240463209407226,0.074379090058015,0.0697297897842523
"14","2-6",0.362726450020568,0.123496380090498,0.123270135746606
"13","2-5",0.365537163309983,0.101953751117037,0.0931987242980143
"16","2-8",0.388259920156472,0.123782065072633,0.121678677278322
"11","2-3",0.393164349376114,0.0681735650623886,0.0746519696969696
"9","2-1",0.396717626087868,0.0841933731781483,0.0808563699276502
"10","2-2",0.400489205783323,0.0666548326401268,0.0826462269756388
"12","2-4",0.409232560903149,0.0711640522875817,0.0712718478906714
"19","3-3",0.437312451087946,0.102229602779333,0.106616539313868
"20","3-4",0.454706120023767,0.0929133095662508,0.101814818775995
"23","3-7",0.491521184697655,0.102664198546551,0.135493528040587
"15","2-7",0.498480635229298,0.0968098363312266,0.110866861124615
"18","3-2",0.500260812458955,0.0610640585420771,0.0654797917253026
"22","3-6",0.52237068011997,0.0912342277825847,0.105687417378655
"21","3-5",0.545940690325717,0.1164316966456,0.121785367039378
"25","4-1",0.559609180035651,0.0955204768270944,0.0944040329768271
"17","3-1",0.589474738918958,0.0848891231148838,0.0903751674289199
"27","4-3",0.59194499618029,0.124521568627451,0.152788388082506
"24","3-8",0.592708884510742,0.0565719110610752,0.055036607561685
"31","4-7",0.596326967150497,0.0727750190985484,0.0925245989304813
"32","4-8",0.59644761338879,0.0754631412160824,0.0831546048722519
"38","5-6",0.598802900536869,0.0895400092916392,0.0838721030078261
"28","4-4",0.599862745098039,0.0613941087344029,0.0656948841354723
"29","4-5",0.60023659050397,0.0996680440771349,0.107775644141954
"26","4-2",0.601591200602591,0.0900878412168785,0.105313768771407
"36","5-4",0.614266488413547,0.0806753676470587,0.0854195855614973
"30","4-6",0.614648336563144,0.079095390883626,0.0921386004349493
"40","5-8",0.627812012463534,0.111583999063816,0.122104775386885
"33","5-1",0.643812070282659,0.118243888464477,0.145153743315508
"35","5-3",0.650860276977924,0.0563637597696421,0.0595604003839297
"37","5-5",0.654049197860963,0.0719318003565061,0.0866730124777184
"39","5-7",0.657452317290553,0.0484327094474153,0.0515462121212121
"34","5-2",0.732388591800357,0.0480375779857397,0.0518498663101604
